식당(ID),식당명,지역명,입식좌석수,좌식좌석수,주차가능여부,와이파이제공여부,놀이방유무,반려동물입장가능여부,다국어메뉴판제공여부,화장실정보내용,휴무일정보내용,영업시간내용,택배판매유무,배리어프리유무,배달서비스유무,예약방식명,온라인예약정보내용,홈페이지(URL),인근랜드마크명,인근랜드마크위도,인근랜드마크경도,인근랜드마크와거리,키오스크유무,모바일페이먼트유무,스마트오더유무,대표메뉴명
614210,던킨도너츠 영등포역사점,서울특별시 영등포구,0,0,N,N,N,N,Y,N,연중무휴,매일 07:00~23:00,N,N,N,N,,https://www.dunkindonuts.co.kr/,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,390.157691,Y,Y,Y,
615018,원조사천마라탕,서울특별시 영등포구,0,0,N,N,N,N,Y,N,,,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,448.161661,N,N,N,
624530,홍어명가2호점,서울특별시 영등포구,0,0,Y,N,N,N,Y,N,연중무휴,매일 11:00~24:00,N,N,N,전화예약,,"http://hongamyungga.7x7.kr,http://hongeomyeongga2.cityfood.co.kr/",맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,22.485699,N,N,N,
631505,마르셀,서울특별시 영등포구,0,0,Y,Y,N,N,Y,Y,,,N,Y,N,"전화예약,온라인예약",네이버,"http://www.instagram.com/marcel_yeouido,http://blog.naver.com/vmhsmin",맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,431.090804,N,N,N,
655500,카페신길동,서울특별시 영등포구,0,0,Y,Y,N,N,Y,Y,,"평일 10:00~22:00, 주말 11:00~22:00",N,N,N,"전화예약,온라인예약",네이버,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,485.309455,N,Y,Y,
656869,카페 팜스프링스,서울특별시 영등포구,0,0,Y,Y,N,N,Y,Y,,"평일 08:30~21:30, 토요일 09:30~21:30",N,Y,N,"전화예약,온라인예약",네이버,"http://instagram.com/palmsprings_group,http://pf.kakao.com/_vxkuxaj",맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,472.426486,N,Y,Y,
661883,진격의포차 신길점,서울특별시 영등포구,0,0,N,Y,N,N,Y,N,일요일,"매일 17:00~03:00, 매일 17:00~23:59",N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,453.095201,N,N,N,
675141,돈도리촌,서울특별시 영등포구,0,0,Y,N,N,N,Y,N,일요일,"매일 11:30~24:00, 일요일 03:00~24:00",N,N,Y,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,407.899698,N,N,N,
676658,비터스윗,서울특별시 영등포구,0,0,N,N,N,N,Y,N,월요일,매일 10:30~21:30,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,469.383629,N,N,N,
726769,흥부가반해버리고놀부가기절한닭강정 신길점,서울특별시 영등포구,0,0,N,N,N,N,Y,N,,,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,534.0903,N,N,N,
726980,통닭촌 신길점,서울특별시 영등포구,0,0,N,N,N,N,Y,N,,매일 12:00~01:30,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,427.073654,N,N,N,
729413,100-17이태리선술집,서울특별시 영등포구,0,0,Y,Y,N,N,Y,N,일요일,"매일 11:30~01:00, 매일 14:00~18:00",N,N,N,N,,https://www.instagram.com/chef10017/,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,395.115969,N,N,N,
743193,인생한잔,서울특별시 영등포구,16,0,N,N,N,N,Y,N,,,N,N,Y,N,레드테이블,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,552.680556,N,N,N,
758224,Mingle,서울특별시 영등포구,0,0,Y,Y,N,N,Y,N,일요일,,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,576.115543,N,Y,Y,
763581,괴물떡볶이 신길점,서울특별시 영등포구,0,0,N,N,N,N,Y,N,,,N,N,Y,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,185.843211,N,N,N,
776251,무상킹카페,서울특별시 영등포구,0,0,N,N,N,N,Y,N,,,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,296.418309,N,N,N,
785151,형님들의수다,서울특별시 영등포구,0,0,N,N,N,N,Y,N,,,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,475.540389,N,N,N,
789363,풍년집정육식당 신길점,서울특별시 영등포구,0,0,N,N,N,N,Y,N,,,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,184.890132,N,N,N,
799147,Hcafe,서울특별시 영등포구,13,0,N,N,N,N,Y,N,,,N,N,N,N,레드테이블,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,476.094917,N,N,N,
802081,주영식당,서울특별시 영등포구,0,0,N,N,N,N,Y,N,,,N,N,N,N,레드테이블,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,268.845483,N,N,N,
802201,왕가네복감자탕,서울특별시 영등포구,36,0,Y,N,N,N,Y,Y,,매일 10:00~22:00,N,N,N,전화예약,레드테이블,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,117.123183,N,N,N,
809169,동네전포차,서울특별시 영등포구,0,0,N,N,N,N,Y,N,,,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,473.454056,N,N,N,
809983,The 꼬치다,서울특별시 영등포구,22,0,N,N,N,N,Y,N,,매일 16:00~24:00,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,117.123183,N,N,N,
812042,카페게이트 영등포역남부점,서울특별시 영등포구,0,0,N,Y,N,N,Y,N,,"평일 08:00~22:00, 주말 09:00~22:00",N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,434.210682,N,N,N,
813245,Brunch by H,서울특별시 영등포구,0,0,Y,Y,N,N,Y,Y,"주말, 공휴일",평일 11:30~22:00,N,N,N,N,레드테이블,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,476.094917,Y,N,N,
816588,NERD,서울특별시 영등포구,0,0,N,Y,N,N,Y,N,일요일,매일 12:00~20:00,N,N,N,전화예약,,http://www.instagram.com/ordinarynerdpeople,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,283.444381,N,N,N,
827424,고래함박 신세계 타임스퀘어점,서울특별시 영등포구,0,0,N,N,N,N,Y,N,,,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,170.941721,N,N,N,
856125,핵밥 영등포점,서울특별시 영등포구,0,0,N,N,N,N,Y,Y,연중무휴,매일 10:00~23:00,N,N,Y,전화예약,레드테이블,"http://www.hecbob.com,https://blog.naver.com/hackbap,https://www.facebook.com/Hecbob,https://www.instagram.com/hecbob_official",맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,344.00667,N,N,N,
872149,바른치킨 신길점,서울특별시 영등포구,0,0,N,N,N,N,Y,N,,매일 12:00~00:00,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,180.195547,N,N,N,
874260,50년장충동왕족발보쌈 여의도점,서울특별시 영등포구,0,0,N,N,N,N,N,N,,,N,N,Y,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,332.293134,N,N,N,
874339,족발신선생 영등포점,서울특별시 영등포구,0,0,Y,N,N,N,N,N,,매일 12:00~03:00,N,N,N,전화예약,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,325.480221,N,N,N,
875095,카페아이엠티 전경련점,서울특별시 영등포구,0,0,N,N,N,N,N,N,,,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,420.988365,N,N,N,
875169,오규당 신세계타임스퀘어점,서울특별시 영등포구,0,0,N,N,N,N,N,N,,,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,170.941721,N,N,N,
877239,30년 불멸의 닭발,서울특별시 영등포구,0,0,N,N,N,N,N,N,,매일 17:00~02:00,N,N,Y,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,308.43452,N,N,N,
878904,표니중식포차,서울특별시 영등포구,0,0,Y,Y,N,N,N,Y,,,N,N,N,전화예약,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,117.123183,N,N,N,
881253,라멘 유니버스,서울특별시 영등포구,0,0,N,N,N,N,N,N,,,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,288.096963,N,N,N,
881761,샤브보울,서울특별시 영등포구,0,0,N,N,N,N,N,N,,매일 17:00~01:00,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,456.405723,N,N,N,
883359,순수치킨 신길점,서울특별시 영등포구,0,0,N,N,N,N,N,N,,매일 00:00~24:00,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,130.633139,N,N,N,
883981,맘스닭강정 영등포역점,서울특별시 영등포구,0,0,N,N,N,N,N,N,,,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,434.210682,N,N,N,
886467,셰플리 영등포키친,서울특별시 영등포구,0,0,N,N,N,N,N,N,,매일 11:00~21:00,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,544.944466,N,N,N,
886920,투썸플레이스 영등포로터리점,서울특별시 영등포구,0,0,Y,Y,N,N,N,Y,,"평일 08:00~22:00, 주말 08:30~22:00",N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,180.195547,N,N,N,
887499,버거킹 신길점,서울특별시 영등포구,0,0,N,N,N,N,Y,N,,매일 09:00~00:00,N,N,Y,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,516.720107,N,N,N,
888362,봉대리키친 신길점,서울특별시 영등포구,0,0,N,N,N,N,N,N,,,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,287.588108,N,N,N,
889417,명랑핫도그 신길대신점,서울특별시 영등포구,0,0,N,N,N,N,N,N,,매일 11:00~21:00,N,N,Y,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,536.781197,N,N,N,
889542,동네카페,서울특별시 영등포구,8,0,Y,Y,N,N,Y,Y,,"평일 08:00~19:00, 주말 10:00~18:00",N,N,N,N,레드테이블,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,520.499547,N,N,N,
915175,달콤 영등포로터리점,서울특별시 영등포구,26,0,Y,Y,N,N,Y,Y,,"평일 08:00~22:00, 주말 09:00~22:00",N,N,Y,N,,http://www.instagram.com/dal.komm,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,180.195547,N,Y,Y,
922327,카페아이엠,서울특별시 영등포구,20,0,N,Y,N,N,Y,N,,"평일 08:00~20:00, 토요일 11:00~19:00",N,N,Y,N,레드테이블,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,544.970393,N,N,N,
944575,호두당,서울특별시 영등포구,0,0,N,N,N,N,N,N,,,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,170.941721,N,N,N,
944624,진리식당 롯데백화점영등포점,서울특별시 영등포구,0,0,N,N,N,N,N,N,,"평일 10:30~20:00, 주말 10:30~20:30",N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,390.157691,N,N,N,
944941,베스트 생갈비찜&찜닭,서울특별시 영등포구,0,0,N,N,N,N,N,N,,,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,464.353084,N,N,N,
946095,진순자김밥,서울특별시 영등포구,0,0,N,N,N,N,N,N,,,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,170.941721,N,N,N,
946850,공구싸롱 한나컴퍼니,서울특별시 영등포구,0,0,N,N,N,N,N,N,,,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,333.512931,N,N,N,
946867,큰손곱도리탕 영등포점,서울특별시 영등포구,0,0,N,N,N,N,N,N,,,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,479.886498,N,N,N,
947039,골목식당,서울특별시 영등포구,0,0,N,N,N,N,N,N,,,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,275.23861,N,N,N,
947112,코코이찌방야 여의도전경련회관점,서울특별시 영등포구,0,0,Y,N,N,N,N,N,"주말, 공휴일",평일 11:00~21:00,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,420.988365,N,N,N,
948674,아차산매운떡볶이 신길점,서울특별시 영등포구,0,0,N,N,N,N,N,N,화요일,"평일 11:00~00:40, 공휴일 12:00~00:40",N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,369.740938,N,N,N,
949139,카우보이치킨 신길점,서울특별시 영등포구,0,0,Y,Y,N,N,N,Y,,매일 13:00~23:59,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,511.219076,N,N,N,
954376,온새미로 과일나라,서울특별시 영등포구,0,0,N,N,N,N,N,N,,,N,N,Y,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,247.43977,N,N,N,
955000,황생가칼국수 신세계백화점 타임스퀘어점,서울특별시 영등포구,0,0,N,N,N,N,N,N,,,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,170.941721,N,N,N,
956081,신길타코야끼,서울특별시 영등포구,0,0,N,N,N,N,N,N,,매일 16:30~01:30,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,175.472745,N,N,N,
960632,머꾸가,서울특별시 영등포구,0,0,N,N,N,N,N,N,,,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,249.934664,N,N,N,
960676,케이엠지엠 영등포점,서울특별시 영등포구,0,0,N,N,N,N,N,N,,,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,308.559396,N,N,N,
961047,수비드FC,서울특별시 영등포구,0,0,N,N,N,N,N,N,,,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,274.585277,N,N,N,
963045,자담치킨 신길2점,서울특별시 영등포구,0,0,N,Y,N,N,N,N,,매일 13:00~00:00,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,495.181737,N,N,N,
963335,라밥 신길점,서울특별시 영등포구,0,0,N,N,N,N,N,N,,,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,180.195547,N,N,N,
964730,크레미뇽,서울특별시 영등포구,0,0,N,N,N,N,N,N,,,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,170.941721,N,N,N,
966034,밀로우(Millow),서울특별시 영등포구,0,0,N,N,N,N,N,N,,,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,431.090804,N,N,N,
966897,레드애플 신세계백화점타임스퀘어점,서울특별시 영등포구,0,0,N,N,N,N,N,N,,,N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,170.941721,N,N,N,
966906,평안도찹쌀순대 영등포2가점,서울특별시 영등포구,0,0,Y,N,N,N,Y,N,,매일 11:00~22:00,N,N,N,전화예약,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,544.970393,N,N,N,
968068,빛톤,서울특별시 영등포구,0,0,N,Y,N,N,N,N,,"평일 10:00~22:00, 주말 10:00~23:00",N,N,N,N,,,맥아더 사령관 한강방어선 시찰지,37.51613,126.9121,244.772488,N,N,N,
1758,예가원,서울특별시 영등포구,0,88,N,N,N,N,Y,N,연중무휴,매일 10:00~22:00,N,N,Y,N,,http://www.yegawon.co.kr/,때때롯살롱,37.5734342,126.989886,193.625911,N,N,N,
1943,중앙참치식당,서울특별시 영등포구,0,0,N,N,N,N,Y,N,일요일,"평일 16:30~23:00, 토요일 16:30~22:00",N,N,N,전화예약,,http://ydptuna3681.modoo.at/,때때롯살롱,37.5734342,126.989886,503.296733,N,N,N,
1944,크래프트홉스 영등포점,서울특별시 영등포구,64,0,N,N,N,N,Y,N,,,N,N,N,N,레드테이블,,때때롯살롱,37.5734342,126.989886,375.898451,N,N,N,
2227,함흥냉면,서울특별시 영등포구,60,0,Y,N,N,N,Y,Y,,매일 11:00~22:00,N,N,N,전화예약,레드테이블,,때때롯살롱,37.5734342,126.989886,334.286532,N,N,N,"회냉면,회무침,물냉면,고기비빔냉면"
2529,야차이 영등포점,서울특별시 영등포구,96,0,N,N,N,N,Y,Y,,매일 17:00~05:00,N,N,N,전화예약,레드테이블,http://www.yachai.co.kr/,때때롯살롱,37.5734342,126.989886,407.129249,N,N,N,
3260,이강순실비집,서울특별시 영등포구,32,96,N,N,N,N,Y,Y,,매일 11:00~01:00,N,N,Y,N,레드테이블,,때때롯살롱,37.5734342,126.989886,375.071338,N,N,N,"꽃게찜,아구탕,아구찜,꽃게탕"
3718,문아관,서울특별시 영등포구,36,0,N,N,N,N,Y,N,,,N,N,Y,N,레드테이블,,때때롯살롱,37.5734342,126.989886,387.786825,N,N,N,
3722,고향갈비,서울특별시 영등포구,10,20,N,N,N,N,Y,N,,,N,N,N,N,레드테이블,,때때롯살롱,37.5734342,126.989886,483.417377,N,N,N,
3724,마산아구찜,서울특별시 영등포구,48,0,N,N,N,N,Y,N,,"평일 11:30~24:00, 주말 11:30~01:00",N,N,Y,N,레드테이블,,때때롯살롱,37.5734342,126.989886,286.156665,N,N,N,
3725,항정사이,서울특별시 영등포구,108,0,N,N,N,N,Y,Y,,,N,N,N,"전화예약,온라인예약",네이버,,때때롯살롱,37.5734342,126.989886,369.423938,N,N,N,
4713,송죽장,서울특별시 영등포구,150,0,N,N,N,N,Y,N,,매일 11:00~22:00,N,N,N,전화예약,레드테이블,https://www.facebook.com/pages/%EC%86%A1%EC%A3%BD%EC%9E%A5/149198828504849,때때롯살롱,37.5734342,126.989886,143.708246,N,N,N,
9677,규이찌,서울특별시 영등포구,62,0,N,Y,N,N,Y,Y,연중무휴,"매일 16:20~22:00, 토요일 15:20~22:00",N,N,Y,N,레드테이블,,때때롯살롱,37.5734342,126.989886,368.71047,N,N,N,
9680,가장맛있는족발 영등포2호점,서울특별시 영등포구,116,0,N,N,N,N,Y,N,,매일 11:00~03:00,N,N,Y,N,레드테이블,,때때롯살롱,37.5734342,126.989886,354.018963,N,N,N,
9688,정통집,서울특별시 영등포구,0,0,N,N,N,N,Y,N,,매일 13:30~00:30,N,N,N,N,레드테이블,,때때롯살롱,37.5734342,126.989886,345.312027,N,N,N,
9690,먹통낙지전문점,서울특별시 영등포구,60,0,N,N,N,N,Y,N,,,N,N,N,N,,,때때롯살롱,37.5734342,126.989886,317.388917,N,N,N,
9692,대문점,서울특별시 영등포구,72,0,N,N,N,N,Y,N,일요일,매일 11:30~22:00,N,N,Y,N,레드테이블,,때때롯살롱,37.5734342,126.989886,415.18689,N,N,N,
11306,금복이네,서울특별시 영등포구,28,0,N,N,N,N,Y,N,,,N,N,N,N,레드테이블,,때때롯살롱,37.5734342,126.989886,337.585596,N,N,N,
11314,우진꼬리곰탕,서울특별시 영등포구,0,0,N,N,N,N,Y,N,,,N,N,N,N,,,때때롯살롱,37.5734342,126.989886,505.780712,N,N,N,
15399,김부삼 영등포역본점,서울특별시 영등포구,52,0,N,Y,N,N,Y,Y,,,N,N,Y,온라인예약,"네이버 , 레드테이블",http://www.kimbusam.com/,때때롯살롱,37.5734342,126.989886,368.335397,N,N,N,
15403,고향이야기,서울특별시 영등포구,116,0,N,N,N,N,Y,N,,,N,N,N,N,레드테이블,,때때롯살롱,37.5734342,126.989886,352.080638,N,N,N,
17580,중화양꼬치샤브샤브,서울특별시 영등포구,84,0,N,Y,N,N,Y,Y,,매일 11:00~10:30,N,N,N,전화예약,,"https://avantti.modoo.at,http:///avantti.modoo.at",때때롯살롱,37.5734342,126.989886,327.735038,N,N,N,
17605,돌배기집 영등포역점,서울특별시 영등포구,96,0,N,N,N,N,Y,Y,,매일 00:00~24:00,N,N,Y,"전화예약,온라인예약","네이버 , 레드테이블",,때때롯살롱,37.5734342,126.989886,306.956498,N,Y,Y,"차돌박이,매운숙돌백이,숙돌백이"
17615,삼화갈비,서울특별시 영등포구,0,0,N,Y,N,N,Y,Y,일요일,,N,N,N,전화예약,,,때때롯살롱,37.5734342,126.989886,163.682524,N,N,N,
17619,영등포꽃삼,서울특별시 영등포구,76,0,N,Y,N,N,Y,Y,,,N,N,N,"전화예약,온라인예약",네이버,,때때롯살롱,37.5734342,126.989886,295.508378,N,N,N,
